temperature_start,temperature_end,mean
0,23.0,32.0,1.0233
1,32.0,41.0,1.0167
2,41.0,50.0,1.01
3,50.0,59.0,1.0033
4,59.0,68.0,0.993
5,68.0,77.0,0.99
6,77.0,86.0,1.0433
7,86.0,95.0,0.78
